"","Field_Name","frozen","storm","unique_storm_number","Q_start","Q_end","runoff_volume","peak_discharge","rain_in","duration","Ievent","I5","I10","I30","I60","ARFdays1","ARFdays2","ARFdays7","ARFdays14","BasinArea_ac","area_ft2","runoff_in"
"42","AO3","Non-Frozen","Storm","2021-7","6/10/2021 23:57","6/11/2021 20:57",24040,14.42,0.33,20.55,0.01606,0.48,0.3,0.16,0.11,0,0.8,0.8,1.59,22.4,975744,0.295651318378591
"43","AO3","Non-Frozen","Storm","2021-8","6/21/2021 2:11","6/21/2021 6:00",14640,6.433,1.01,8.317,0.1214,0.96,0.72,0.62,0.44,0,0.02,0.1,1.23,22.4,975744,0.180047225501771
"44","AO3","Non-Frozen","Storm","2021-9","6/27/2021 7:11","6/27/2021 9:15",180,0.05117,0.58,9.1,0.06374,0.36,0.36,0.2,0.15,0.12,0.12,1.45,1.55,22.4,975744,0.00221369539551358
"45","AO3","Non-Frozen","Storm","2021-10","6/29/2021 20:18","6/29/2021 22:25",4385,3.643,0.93,1.85,0.5027,3.96,3.18,1.58,0.86,0.16,0.16,1.21,2.3,22.4,975744,0.0539280794962613
"46","AO3","Non-Frozen","Storm","2021-11","7/5/2021 19:54","7/5/2021 21:07",1003,1.594,0.37,0.2333,1.586,2.4,1.98,0.74,0.37,0,0,1.1,2.15,22.4,975744,0.0123352026761118
"47","AO3","Non-Frozen","Storm","2021-12","7/6/2021 20:50","7/7/2021 17:00",7483,3.867,1.54,19.33,0.07966,4.2,2.88,1,0.5,0.06,0.43,0.55,2.58,22.4,975744,0.0920282369146006
"48","AO3","Non-Frozen","Storm","2021-13","7/14/2021 20:50","7/15/2021 2:45",298.8,0.09417,0.63,6.467,0.09742,0.84,0.6,0.44,0.28,0,0,0,1.97,22.4,975744,0.00367473435655254
"49","AO3","Non-Frozen","Storm","2021-14","7/20/2021 8:15","7/24/2021 15:00",6758,2.775,1.03,31.62,0.03258,1.68,1.56,0.94,0.65,0,0,0,0.66,22.4,975744,0.083111963793782
"50","AO3","Non-Frozen","Storm","2021-15","7/27/2021 7:48","7/27/2021 13:30",2591,0.8418,0.9,7.1,0.1268,1.08,1.02,0.6,0.37,0,0,1.03,1.69,22.4,975744,0.0318649153876427
"51","AO3","Non-Frozen","Storm","2021-16","7/29/2021 1:53","7/29/2021 4:45",423,0.3547,0.25,1.817,0.1376,0.84,0.6,0.34,0.21,0.05,0.95,1.98,2.14,22.4,975744,0.00520218417945691
"52","AO3","Non-Frozen","Storm","2021-17","8/8/2021 2:06","8/9/2021 10:45",14440,5.649,2.63,37.42,0.07029,4.44,3.3,1.3,0.8,0,0.04,0.1,1.31,22.4,975744,0.1775875639512
"53","AO3","Non-Frozen","Storm","2021-18","8/11/2021 18:20","8/11/2021 21:45",4327,3.316,0.63,1.6,0.3938,3.12,2.52,1.22,0.61,0,0,2.67,3.04,22.4,975744,0.0532147776465958
"54","AO3","Non-Frozen","Storm","2021-19","8/24/2021 15:59","8/24/2021 20:00",915,0.2588,0.67,3.817,0.1755,1.08,0.66,0.34,0.29,0,0,0,0.65,22.4,975744,0.0112529515938607
"55","AO3","Non-Frozen","Storm","2021-20","8/27/2021 6:43","8/27/2021 20:45",412.4,0.09207,0.64,16.35,0.03914,0.36,0.3,0.24,0.22,0,0,0.67,0.67,22.4,975744,0.00507182211727666
"56","AO3","Non-Frozen","Storm","2021-21","8/29/2021 6:21","8/29/2021 12:00",5523,3.109,0.68,4.167,0.1632,2.64,2.04,0.98,0.55,0,0.64,1.46,1.46,22.4,975744,0.0679235537190083
"57","AO3","Non-Frozen","Storm","2021-22","9/7/2021 10:23","9/7/2021 12:30",1282,0.8109,0.36,0.5833,0.6171,1.68,1.26,0.68,0.36,0,0.02,0.14,2.28,22.4,975744,0.0157664305391578
