"Metric","Constituent","Season","Driver","Events","Spearman_Rho","P_Value","P_Adjusted"
"Load","Suspended sediment","Growing season","Maximum 30-minute intensity",352,-0.0506753341084771,0.343139147743371,0.480394806840719
"Load","Suspended sediment","Growing season","Seven-day antecedent precipitation",354,0.00986078019695416,0.853324897821431,0.853324897821431
"Load","Suspended sediment","Growing season","Mean slope",354,-0.0958491540671637,0.0716773876082457,0.25087085662886
"Load","Suspended sediment","Growing season","Perennial crop fraction",352,-0.0783941244444787,0.142149767761528,0.331682791443565
"Load","Suspended sediment","Growing season","Tillage passes",331,0.130196060353152,0.0177955764076468,0.124569034853528
"Load","Suspended sediment","Growing season","Frozen soil",354,,,
"Load","Suspended sediment","Post-growing season","Runoff depth",89,-0.0714349556356245,0.505897128934162,0.67452950524555
"Load","Suspended sediment","Post-growing season","Precipitation depth",89,0.116953488938324,0.275057153552291,0.67452950524555
"Load","Suspended sediment","Post-growing season","Maximum 30-minute intensity",86,0.174843557216643,0.107368361507975,0.67452950524555
"Load","Suspended sediment","Post-growing season","Seven-day antecedent precipitation",89,0.081686484454896,0.446652430870292,0.67452950524555
"Load","Suspended sediment","Post-growing season","Mean slope",89,0.0457865072436954,0.670059503868556,0.765782290135492
"Load","Suspended sediment","Post-growing season","Perennial crop fraction",86,0.00191342676013228,0.986049900499192,0.986049900499192
"Load","Suspended sediment","Post-growing season","Tillage passes",67,0.0914081241510334,0.461931898456518,0.67452950524555
"Load","Suspended sediment","Post-growing season","Frozen soil",89,-0.107423580751349,0.316339374876295,0.67452950524555
"Load","Total dissolved solids","Pre-growing season","Runoff depth",414,-0.168033162197055,0.000596782220407105,0.00477425776325684
"Load","Total dissolved solids","Pre-growing season","Precipitation depth",414,-0.0408125498557085,0.407530688399272,0.652049101438836
"Load","Total dissolved solids","Pre-growing season","Maximum 30-minute intensity",273,0.0337114328624244,0.579164061652487,0.661901784745699
"Load","Total dissolved solids","Pre-growing season","Seven-day antecedent precipitation",414,-0.147658198085226,0.00259667956275005,0.0103867182510002
"Load","Total dissolved solids","Pre-growing season","Mean slope",414,-0.0835246950248679,0.0896390838767099,0.17927816775342
"Load","Total dissolved solids","Pre-growing season","Perennial crop fraction",414,-0.0166593968656253,0.735387938794566,0.735387938794566
"Load","Total dissolved solids","Pre-growing season","Tillage passes",383,-0.0291027661157151,0.570163312648651,0.661901784745699
"Load","Total dissolved solids","Pre-growing season","Frozen soil",414,0.0870314527426124,0.0769219902678321,0.17927816775342
"Load","Total dissolved solids","Growing season","Runoff depth",241,-0.172629665788235,0.00722705984018167,0.0505894188812717
"Load","Total dissolved solids","Growing season","Precipitation depth",241,0.089007868240589,0.168411831875584,0.589441411564543
"Load","Total dissolved solids","Growing season","Maximum 30-minute intensity",239,0.044712344583923,0.491480334303572,0.688072468025001
"Load","Total dissolved solids","Growing season","Seven-day antecedent precipitation",241,-0.0022779590116642,0.971936513455326,0.971936513455326
"Load","Total dissolved solids","Growing season","Mean slope",241,-0.0584982951752173,0.365894237784993,0.688072468025001
"Load","Total dissolved solids","Growing season","Perennial crop fraction",241,-0.0069727850052588,0.914245369549254,0.971936513455326
"Load","Total dissolved solids","Growing season","Tillage passes",220,0.0548326810237064,0.418356408669803,0.688072468025001
"Load","Total dissolved solids","Growing season","Frozen soil",241,,,
"Load","Total dissolved solids","Post-growing season","Runoff depth",39,-0.377322201262991,0.0178852263353976,0.14308181068318
"Load","Total dissolved solids","Post-growing season","Precipitation depth",39,-0.143486405935516,0.383513968773135,0.685426785388017
"Load","Total dissolved solids","Post-growing season","Maximum 30-minute intensity",37,0.216110596233204,0.198905877397908,0.587533057425502
"Load","Total dissolved solids","Post-growing season","Seven-day antecedent precipitation",39,0.0474911069913213,0.774040021834114,0.872268673230833
"Load","Total dissolved solids","Post-growing season","Mean slope",39,0.0266061067391159,0.872268673230833,0.872268673230833
"Load","Total dissolved solids","Post-growing season","Perennial crop fraction",36,-0.0705883203316755,0.682470830997495,0.872268673230833
"Load","Total dissolved solids","Post-growing season","Tillage passes",25,-0.254093711751688,0.220324896534563,0.587533057425502
"Load","Total dissolved solids","Post-growing season","Frozen soil",39,0.130515525019977,0.428391740867511,0.685426785388017
"Load","Orthophosphate","Pre-growing season","Runoff depth",607,0.0150953208656965,0.710515718661782,0.83342625739003
"Load","Orthophosphate","Pre-growing season","Precipitation depth",607,-0.00855366738448716,0.83342625739003,0.83342625739003
"Load","Orthophosphate","Pre-growing season","Maximum 30-minute intensity",422,-0.0961048131575268,0.048500183673039,0.129333823128104
"Load","Orthophosphate","Pre-growing season","Seven-day antecedent precipitation",607,-0.085471805317175,0.0352640107152712,0.129333823128104
"Load","Orthophosphate","Pre-growing season","Mean slope",607,-0.0163080404173583,0.688430649842039,0.83342625739003
"Load","Orthophosphate","Pre-growing season","Perennial crop fraction",602,0.0132761228183385,0.74512345954789,0.83342625739003
"Load","Orthophosphate","Pre-growing season","Tillage passes",571,-0.154056739658149,0.000219631851801781,0.00175705481441425
"Load","Orthophosphate","Pre-growing season","Frozen soil",607,0.0463593216386906,0.254106924281518,0.508213848563037
"Load","Orthophosphate","Growing season","Runoff depth",354,-0.0342222762030374,0.521003708449724,0.911756489787017
"Load","Orthophosphate","Growing season","Precipitation depth",354,0.0825412674021555,0.12110355095952,0.423862428358321
"Load","Orthophosphate","Growing season","Maximum 30-minute intensity",352,0.00427522340984542,0.936296618427821,0.936296618427821
"Load","Orthophosphate","Growing season","Seven-day antecedent precipitation",354,0.0612948892390013,0.250037033490342,0.583419744810799
"Load","Orthophosphate","Growing season","Mean slope",354,0.0233230904727674,0.661872918602004,0.926622086042805
"Load","Orthophosphate","Growing season","Perennial crop fraction",352,-0.00701847472459248,0.895607998505188,0.936296618427821
"Load","Orthophosphate","Growing season","Tillage passes",331,-0.0944494949051515,0.086217943801602,0.423862428358321
"Load","Orthophosphate","Growing season","Frozen soil",354,,,
"Load","Orthophosphate","Post-growing season","Runoff depth",89,0.279896832625405,0.00789482285391803,0.0631585828313442
"Load","Orthophosphate","Post-growing season","Precipitation depth",89,0.128793619305358,0.229023785165693,0.610730093775182
"Load","Orthophosphate","Post-growing season","Maximum 30-minute intensity",86,0.0368071584721423,0.736527922403575,0.841057304866136
"Load","Orthophosphate","Post-growing season","Seven-day antecedent precipitation",89,-0.0799976904999722,0.456136669151615,0.664136913565437
"Load","Orthophosphate","Post-growing season","Mean slope",89,0.0215596396913001,0.841057304866136,0.841057304866136
"Load","Orthophosphate","Post-growing season","Perennial crop fraction",86,0.074037372254799,0.498102685174078,0.664136913565437
