"Field_Name","Hydrologic_Group","Constituent","Metric","Events","Mean","Standard_Deviation","Median"
"R1","High-infiltration","Orthophosphate","Concentration",64,2.17440625,2.50002872185882,1.2
"R1","High-infiltration","Orthophosphate","Load",64,2.52403859375,5.1154001898301,0.4815
"R1","High-infiltration","Orthophosphate","Yield",64,0.149373859375,0.302990496858616,0.0285
"R1","High-infiltration","Total phosphorus","Concentration",64,3.270203125,3.37881548315329,1.98
"R1","High-infiltration","Total phosphorus","Load",64,3.484048125,6.58233987097387,0.8165
"R1","High-infiltration","Total phosphorus","Yield",64,0.206241734375,0.389805587082792,0.0483
"R2","High-infiltration","Suspended sediment","Concentration",57,697.608771929825,1546.94839907024,65
"R2","High-infiltration","Suspended sediment","Load",57,360.179385964912,1671.97495981576,25.4
"R2","High-infiltration","Suspended sediment","Yield",57,20.9255701754386,96.9928604999265,1.48
"R2","High-infiltration","Total dissolved solids","Concentration",48,112.979166666667,81.3228866750506,100
"R2","High-infiltration","Total dissolved solids","Load",48,82.254375,110.696897222969,24.65
"R2","High-infiltration","Total dissolved solids","Yield",48,4.77883333333333,6.42741600216002,1.435
"R2","High-infiltration","Orthophosphate","Concentration",57,2.46684210526316,3.23071604618119,1.36
"R2","High-infiltration","Orthophosphate","Load",57,2.13499614035088,4.27972377939476,0.444
"R2","High-infiltration","Orthophosphate","Yield",57,0.124237807017544,0.249274920066139,0.0258
"R2","High-infiltration","Total phosphorus","Concentration",57,3.8829649122807,3.94841771638116,2.71
"R2","High-infiltration","Total phosphorus","Load",57,2.88335315789474,5.37102131840702,0.884
"R2","High-infiltration","Total phosphorus","Yield",57,0.167853596491228,0.313087302931162,0.0514
"R3","High-infiltration","Suspended sediment","Concentration",60,534.405,942.058775816679,170
"R3","High-infiltration","Suspended sediment","Load",60,368.168783333333,873.286819816174,38.45
"R3","High-infiltration","Suspended sediment","Yield",60,9.31682333333333,22.0922543855776,0.9725
"R3","High-infiltration","Total dissolved solids","Concentration",51,139.958823529412,113.125714453383,108
"R3","High-infiltration","Total dissolved solids","Load",51,357.167396078431,737.827234871693,52.7
"R3","High-infiltration","Total dissolved solids","Yield",51,9.04101458823529,18.6649867708439,1.34
"R3","High-infiltration","Orthophosphate","Concentration",60,2.16121666666667,2.31615448455574,1.17
"R3","High-infiltration","Orthophosphate","Load",60,6.07110133333333,14.0103792419609,0.541
"R3","High-infiltration","Orthophosphate","Yield",60,0.153757611666667,0.35499206020459,0.0137
"R3","High-infiltration","Total phosphorus","Concentration",60,3.26016666666667,2.73575104902838,2.37
"R3","High-infiltration","Total phosphorus","Load",60,7.8623765,18.2827304620731,1.22
"R3","High-infiltration","Total phosphorus","Yield",60,0.198785298333333,0.461617711745737,0.03085
"RE1","High-infiltration","Suspended sediment","Concentration",26,298.715384615385,425.22696592978,37.85
"RE1","High-infiltration","Suspended sediment","Load",26,14.5367692307692,21.865178225311,5.055
"RE1","High-infiltration","Suspended sediment","Yield",26,1.54687307692308,2.32627105842078,0.538
"RE1","High-infiltration","Total dissolved solids","Concentration",12,90.3166666666667,43.2847198177021,74.9
"RE1","High-infiltration","Total dissolved solids","Load",12,31.023,46.3391404185196,4.015
"RE1","High-infiltration","Total dissolved solids","Yield",12,3.2883,4.90282226885699,0.4275
"RE1","High-infiltration","Orthophosphate","Concentration",26,2.13796153846154,2.86522323710763,0.877
"RE1","High-infiltration","Orthophosphate","Load",26,1.01468269230769,1.89615165984065,0.1357
"RE1","High-infiltration","Orthophosphate","Yield",26,0.107971692307692,0.201805774063433,0.01446
"RE1","High-infiltration","Total phosphorus","Concentration",26,2.69857692307692,2.6857310092126,2.165
"RE1","High-infiltration","Total phosphorus","Load",26,1.10047846153846,1.9736455148191,0.187
"RE1","High-infiltration","Total phosphorus","Yield",26,0.117081807692308,0.209856024806727,0.01985
"RE5","High-infiltration","Suspended sediment","Concentration",33,159.40303030303,198.833619964105,92.3
"RE5","High-infiltration","Suspended sediment","Load",33,68.4300606060606,144.181237416433,7.02
"RE5","High-infiltration","Suspended sediment","Yield",33,7.05626060606061,14.8707086032605,0.723
"RE5","High-infiltration","Total dissolved solids","Concentration",15,86.0333333333333,43.6387715334928,72
"RE5","High-infiltration","Total dissolved solids","Load",15,54.5678666666667,111.380851708302,3.87
"RE5","High-infiltration","Total dissolved solids","Yield",15,5.62458,11.4761898160745,0.399
"RE5","High-infiltration","Orthophosphate","Concentration",33,1.6019696969697,2.09683308057724,0.755
"RE5","High-infiltration","Orthophosphate","Load",33,1.41961,3.3376111021442,0.101
"RE5","High-infiltration","Orthophosphate","Yield",33,0.146453736363636,0.34461971173137,0.0104
"RE5","High-infiltration","Total phosphorus","Concentration",33,1.98075757575758,2.02251797010408,1.21
"RE5","High-infiltration","Total phosphorus","Load",33,1.59354,3.49838916026541,0.108
"RE5","High-infiltration","Total phosphorus","Yield",33,0.164572212121212,0.361068543064,0.0111
"RS1","Moderate-infiltration","Suspended sediment","Concentration",21,147.938095238095,207.396963517286,62.7
"RS1","Moderate-infiltration","Suspended sediment","Load",21,38.4035714285714,99.1395492276273,1.83
"RS1","Moderate-infiltration","Suspended sediment","Yield",21,18.295319047619,47.2483683352941,0.87
"RS1","Moderate-infiltration","Total dissolved solids","Concentration",0,,0,
"RS1","Moderate-infiltration","Total dissolved solids","Load",0,,0,
"RS1","Moderate-infiltration","Total dissolved solids","Yield",0,,0,
"RS1","Moderate-infiltration","Orthophosphate","Concentration",21,0.651666666666667,0.74871017979812,0.338
"RS1","Moderate-infiltration","Orthophosphate","Load",21,0.120110952380952,0.323379224408507,0.0234
"RS1","Moderate-infiltration","Orthophosphate","Yield",21,0.0570480952380952,0.153450229964606,0.0112
