"Month_Number","Month","frozen","Constituent","Metric","Mean","Standard_Deviation","Site_Months","Events","Lower","Upper"
11,"Nov","Frozen","Total phosphorus","Concentration",0.655,0,1,1,0.655,0.655
11,"Nov","Frozen","Total phosphorus","Load",0.0591,0,1,1,0.0591,0.0591
11,"Nov","Frozen","Total phosphorus","Yield",0.00177,0,1,1,0.00177,0.00177
12,"Dec","Non-Frozen","Suspended sediment","Concentration",530.85,853.127580989177,10,11,0,1383.97758098918
12,"Dec","Non-Frozen","Suspended sediment","Load",616.836,1314.22124462309,10,11,0,1931.05724462309
12,"Dec","Non-Frozen","Suspended sediment","Yield",62.73525,123.481232387141,10,11,0,186.216482387141
12,"Dec","Non-Frozen","Total dissolved solids","Concentration",159.5,131.079810293831,7,8,28.4201897061692,290.579810293831
12,"Dec","Non-Frozen","Total dissolved solids","Load",171.608571428571,289.606189818091,7,8,0,461.214761246663
12,"Dec","Non-Frozen","Total dissolved solids","Yield",11.3605428571429,19.1584130918036,7,8,0,30.5189559489464
12,"Dec","Non-Frozen","Orthophosphate","Concentration",1.5681,1.76952093014528,10,11,0,3.33762093014528
12,"Dec","Non-Frozen","Orthophosphate","Load",1.700146,3.15968209593659,10,11,0,4.85982809593659
12,"Dec","Non-Frozen","Orthophosphate","Yield",0.111873,0.207610051247258,10,11,0,0.319483051247258
12,"Dec","Non-Frozen","Total phosphorus","Concentration",2.5227,1.59828922775434,10,11,0.924410772245663,4.12098922775434
12,"Dec","Non-Frozen","Total phosphorus","Load",2.77584,3.72555965525837,10,11,0,6.50139965525837
12,"Dec","Non-Frozen","Total phosphorus","Yield",0.203814,0.240886854223674,10,11,0,0.444700854223674
12,"Dec","Frozen","Suspended sediment","Concentration",656.95652173913,2694.41746914314,23,23,0,3351.37399088227
12,"Dec","Frozen","Suspended sediment","Load",230.773434782609,931.940725070578,23,23,0,1162.71415985319
12,"Dec","Frozen","Suspended sediment","Yield",79.416547826087,359.949580386426,23,23,0,439.366128212513
12,"Dec","Frozen","Total dissolved solids","Concentration",113.333333333333,55.1779490431283,12,12,58.1553842902051,168.511282376462
12,"Dec","Frozen","Total dissolved solids","Load",99.1666666666667,140.222251984181,12,12,0,239.388918650848
12,"Dec","Frozen","Total dissolved solids","Yield",4.046475,4.60577819762109,12,12,0,8.65225319762109
12,"Dec","Frozen","Orthophosphate","Concentration",1.62,2.86897840544489,23,23,0,4.48897840544489
12,"Dec","Frozen","Orthophosphate","Load",0.59369652173913,1.24066799870293,23,23,0,1.83436452044206
12,"Dec","Frozen","Orthophosphate","Yield",0.0338753913043478,0.054628559655799,23,23,0,0.0885039509601469
12,"Dec","Frozen","Total phosphorus","Concentration",2.48847826086957,3.64054694778839,23,23,0,6.12902520865796
12,"Dec","Frozen","Total phosphorus","Load",0.835,1.34911571914212,23,23,0,2.18411571914212
12,"Dec","Frozen","Total phosphorus","Yield",0.101979956521739,0.230683642280245,23,23,0,0.332663598801984
