"Season","Rep","Model","n","Use_Frozen","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"June",31,"Site",1278,FALSE,TRUE,TRUE,563.214995352637,0.939484170425187,,0.648869864401922,0.734962680756411,1.0686571003403,FALSE
"June",31,"Full",1278,FALSE,TRUE,TRUE,555.674116910123,0.945247843412007,,0.639814993644523,0.752177036846988,1.49161441968784,FALSE
"June",32,"Storm",1278,FALSE,TRUE,TRUE,544.321536427663,0.947897053027981,,0.554301974542993,0.772048952747835,3.14259948984728,FALSE
"June",32,"Agricultural",1278,FALSE,TRUE,TRUE,532.459980408632,0.952226649735079,,0.537630116988483,0.80878510665694,4.66524413557369,FALSE
"June",32,"Site",1278,FALSE,TRUE,TRUE,545.53051719855,0.948061260235583,,0.582859426181752,0.762179380752912,2.48060494564031,FALSE
"June",32,"Full",1278,FALSE,TRUE,TRUE,532.96914712675,0.952566011297456,,0.568090769133347,0.797701456242797,3.7340302537429,FALSE
"June",33,"Storm",1278,FALSE,TRUE,TRUE,543.63844812914,0.94631555153707,,0.649913510487242,0.798570183794892,2.42794667437991,FALSE
"June",33,"Agricultural",1278,FALSE,TRUE,TRUE,543.660651275941,0.948677667269439,,0.642735063390862,0.810562394569675,2.91457331058578,FALSE
"June",33,"Site",1278,FALSE,TRUE,TRUE,546.093707051131,0.946473779385172,,0.660118749368179,0.788748574654327,2.00318252319195,FALSE
"June",33,"Full",1278,FALSE,TRUE,TRUE,545.783509150351,0.94875678119349,,0.652347498089672,0.798861601407917,2.39641999249152,FALSE
"June",34,"Storm",1278,FALSE,TRUE,TRUE,507.988933616168,0.950652828925343,,0.58049810943647,0.813229288136058,4.09943765208308,FALSE
"June",34,"Agricultural",1278,FALSE,TRUE,TRUE,506.904652107773,0.952771099004778,,0.570852880344687,0.829458703514869,4.9886981884771,FALSE
"June",34,"Site",1278,FALSE,TRUE,TRUE,508.721340668525,0.950117174422497,,0.608280479983078,0.803676678380324,3.2743319604067,FALSE
"June",34,"Full",1278,FALSE,TRUE,TRUE,507.374076229614,0.952698055208936,,0.598268429945434,0.819263154651362,4.02266345372253,FALSE
"June",35,"Storm",1278,FALSE,TRUE,TRUE,565.031864018633,0.952405876527245,,0.527008998776817,0.810628094296494,4.92717977881508,FALSE
"June",35,"Agricultural",1278,FALSE,TRUE,TRUE,566.052097991413,0.952631659970135,,0.528288494081949,0.812340273372975,4.97972001668017,FALSE
"June",35,"Site",1278,FALSE,TRUE,TRUE,566.996649828592,0.952606002760716,,0.559754748890323,0.806282936376614,4.18675161030673,FALSE
"June",35,"Full",1278,FALSE,TRUE,TRUE,568.140917806379,0.95350400509039,,0.558199395047728,0.81051920334292,4.38091306061507,FALSE
"June",36,"Storm",1278,FALSE,TRUE,TRUE,606.801576442187,0.940291072127531,,0.526574341844995,0.729818444766138,2.4748036444724,FALSE
"June",36,"Agricultural",1278,FALSE,TRUE,TRUE,605.335771548919,0.941714407714479,,0.532615692717676,0.742294264766834,2.67675398019135,FALSE
"June",36,"Site",1278,FALSE,TRUE,TRUE,608.755578915106,0.939767487965189,,0.553254427144808,0.716293176840498,1.89059953232082,FALSE
"June",36,"Full",1278,FALSE,TRUE,TRUE,607.212183684219,0.941373823841888,,0.555467731995298,0.72656891567846,2.05865523019698,FALSE
"June",37,"Storm",1278,FALSE,TRUE,TRUE,467.649433903614,0.961209386778178,,0.66894480729555,0.820232027161452,2.76865225664724,FALSE
"June",37,"Agricultural",1278,FALSE,TRUE,TRUE,463.814573581912,0.963954991884233,,0.664022339951567,0.827218560680644,3.10735949550661,FALSE
"June",37,"Site",1278,FALSE,TRUE,TRUE,465.635138216154,0.961787119315525,,0.707848839035468,0.811306648482192,1.80378666096613,FALSE
"June",37,"Full",1278,FALSE,TRUE,TRUE,463.250384083344,0.964510715563014,,0.697431954470269,0.818711347562238,2.20087250493675,FALSE
"June",38,"Storm",1278,FALSE,TRUE,TRUE,601.55036387878,0.935295404463747,,0.526947499428513,0.760270004445651,3.2019367136561,FALSE
"June",38,"Agricultural",1278,FALSE,TRUE,TRUE,589.074351696121,0.941458000971076,,0.52277412611775,0.790262807745214,4.19573886896354,FALSE
"June",38,"Site",1278,FALSE,TRUE,TRUE,604.571109652398,0.934772517487368,,0.554229082969023,0.752347371824184,2.63184384517958,FALSE
"June",38,"Full",1278,FALSE,TRUE,TRUE,591.859985344962,0.940961791901655,,0.550477343173954,0.780037596959104,3.4334184081024,FALSE
"June",39,"Storm",1278,FALSE,TRUE,TRUE,514.450829973505,0.947696208112875,,0.557310509320728,0.764638570858888,2.89801937966017,FALSE
"June",39,"Agricultural",1278,FALSE,TRUE,TRUE,514.985848025476,0.948982216343327,,0.551756619418258,0.774217393169326,3.24146585440915,FALSE
"June",39,"Site",1278,FALSE,TRUE,TRUE,517.788379687052,0.947249167156575,,0.57387866371481,0.753608368795946,2.39978536014245,FALSE
"June",39,"Full",1278,FALSE,TRUE,TRUE,518.171874868211,0.949043454830492,,0.566753132417034,0.761273850741987,2.68067622482923,FALSE
"June",40,"Storm",1278,FALSE,TRUE,TRUE,547.143878085961,0.945209594675787,,0.532840970131981,0.765174985869044,3.25496956776866,FALSE
"June",40,"Agricultural",1278,FALSE,TRUE,TRUE,533.814049239289,0.95171465545131,,0.539475614777393,0.80380046936082,4.43219162250284,FALSE
"June",40,"Site",1278,FALSE,TRUE,TRUE,550.865415671098,0.945082497573601,,0.547708310684209,0.75824466761623,2.86503236485259,FALSE
"June",40,"Full",1278,FALSE,TRUE,TRUE,536.630472086705,0.951662661182234,,0.555132142965073,0.792900882219964,3.77706967972046,FALSE
"June",41,"Storm",1278,FALSE,TRUE,TRUE,545.264632642387,0.951548925732642,,0.616599850249685,0.829464738678443,4.10646694295178,FALSE
