"Season","Rep","Model","n","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",17,"Full",21,FALSE,FALSE,-23.4861567211246,,4.76083312983527e-10,0.319194599629432,0.999999999955203,4.97989841919144,FALSE
"Pre-growing season",18,"Storm",21,FALSE,TRUE,95.4909254779311,,1.4841978585167,0.191530320586749,0.342604625925641,0.596369676739057,FALSE
"Pre-growing season",18,"Agricultural",21,FALSE,TRUE,100.000617735439,,1.5190636925414,0.236978258004846,0.32981078455716,0.357092159101795,FALSE
"Pre-growing season",18,"Site",21,FALSE,TRUE,88.4861652887188,,1.35923568452814,0.519644907118762,,0,TRUE
"Pre-growing season",18,"Full",21,FALSE,TRUE,90.9011764641137,,1.24802920151314,0.59655117094783,,0,TRUE
"Pre-growing season",19,"Storm",21,FALSE,TRUE,74.730742857675,,0.439220990217864,0.136957437471708,0.728782715844225,0.934198358630506,FALSE
"Pre-growing season",19,"Agricultural",21,FALSE,TRUE,-64.869815497215,,2.68995077692103e-14,0.545514539464223,0.999999999999999,2.89767678760739,FALSE
"Pre-growing season",19,"Site",21,FALSE,TRUE,74.4929235244482,,0.974091655256679,0.439565958156424,,4.95475381821508e-16,TRUE
"Pre-growing season",19,"Full",21,FALSE,TRUE,-65.6332176659057,,1.20268253900163e-14,0.567287305983882,0.999999999999999,2.29292849382438,FALSE
"Pre-growing season",20,"Storm",21,FALSE,FALSE,85.5215678484756,,1.39316061129228,0.223050945828882,,2.53546642955886e-16,TRUE
"Pre-growing season",20,"Agricultural",21,FALSE,FALSE,85.4396054036332,,1.20534563201017,0.424040854354393,,0,TRUE
"Pre-growing season",20,"Site",21,FALSE,FALSE,83.7375953275754,,1.27313250530691,0.355290020931644,,1.29908838912153e-16,TRUE
"Pre-growing season",20,"Full",21,FALSE,FALSE,81.7173026423114,,1.05181900761128,0.564410304895624,,0,TRUE
"Pre-growing season",21,"Storm",21,TRUE,TRUE,104.06032304709,,2.16619878666401,0.0629771149269916,,0,TRUE
"Pre-growing season",21,"Agricultural",21,TRUE,TRUE,109.431787925542,,2.13402271756734,0.0918614761148061,,0,TRUE
