"Season","Rep","n","Use_Hydrologic_Group","Use_Tile","AIC_Storm","AIC_Agricultural","AIC_Site","AIC_Full","AUC_Storm","AUC_Agricultural","AUC_Site","AUC_Full","RMSE_Storm","RMSE_Agricultural","RMSE_Site","RMSE_Full","R2m_Storm","R2m_Agricultural","R2m_Site","R2m_Full","R2c_Storm","R2c_Agricultural","R2c_Site","R2c_Full","REvar_Storm","REvar_Agricultural","REvar_Site","REvar_Full","Singular_Storm","Singular_Agricultural","Singular_Site","Singular_Full"
"Post-growing season",4,209,TRUE,TRUE,64.4987646754697,67.7433094988967,62.6085643591947,64.3904436005406,0.839462517680339,0.84016973125884,0.908415841584158,0.936350777934936,,,,,0.275945350557792,0.368743648741274,0.661963614367354,0.814782646389478,0.317804285166378,,,,0.201863441949147,3.99999999999948e-14,0,0,FALSE,TRUE,TRUE,TRUE
"Post-growing season",5,209,TRUE,TRUE,52.3245733559113,55.1120077509741,57.2027254272213,48.0294837247841,0.983579638752053,0.987684729064039,0.971264367816092,0.963054187192118,,,,,0.116268177631333,0.235205626107764,0.78115304493687,0.972026678929018,0.96252579175481,0.946918378072348,0.951289393241752,,74.2931228696515,44.1102027030182,11.4908474338997,0,FALSE,FALSE,FALSE,TRUE
"Post-growing season",6,209,TRUE,TRUE,30.0336010997523,34.2063449384176,,,1,1,,,,,,,0.0574228485640047,0.0949542172663392,,,0.999953067876589,0.999827672917863,,,66069.8879186422,17274.7911115725,,,FALSE,FALSE,,
"Post-growing season",7,209,TRUE,TRUE,26.807895950865,32.4144041046921,31.7892483261415,35.1927334751912,1,1,1,1,,,,,0.0703514060199532,0.135117995575863,0.474776320386478,0.253500881020925,0.999861635786266,0.999615004237308,0.999436257054967,0.999822396666856,22100.8453148927,7387.30509806561,3061.78910420395,13824.6243938982,FALSE,FALSE,FALSE,FALSE
"Post-growing season",8,209,TRUE,TRUE,42.6267928877339,46.1840284739925,41.9054914580257,41.1158386820113,0.979411764705882,0.984313725490196,0.96421568627451,0.985294117647059,,,,,0.0205847928888262,0.0461112765215542,0.999996076498361,0.999999047095378,0.951673061537993,0.976669616137817,,,63.3840611917849,131.220053906246,0,0,FALSE,FALSE,TRUE,TRUE
"Post-growing season",9,209,TRUE,TRUE,62.044600610404,65.839679371943,63.6366985620824,61.8590966162426,0.995,0.994444444444444,0.995,0.966111111111111,,,,,0.143639615569084,0.211017734125911,0.595311156347341,0.863282100780956,0.980273791437441,0.967797604974093,0.914777580226422,,139.530924354867,77.3143109176626,12.332463810557,4.80030922653721e-17,FALSE,FALSE,FALSE,TRUE
"Post-growing season",10,209,TRUE,TRUE,69.8849131597124,72.8489931522026,70.4199926326929,69.109076001756,0.970615243342516,0.974288337924702,0.955922865013774,0.962350780532599,,,,,0.104494133400388,0.983486696924947,0.640335081039459,0.996176454230543,0.898077994446723,0.996732744724591,0.790329728287596,0.99672411211931,25.6155306373697,13.3377244445711,2.35351729253992,0.549995085925606,FALSE,FALSE,FALSE,FALSE
"Post-growing season",11,209,TRUE,TRUE,70.8752397319404,68.4772881345556,74.330055693097,69.8222992681426,0.973366834170854,0.987939698492462,0.971859296482412,0.968341708542714,,,,,0.0953830824615286,0.245957791285085,0.47635420135976,0.860036580096442,0.936144967892438,0.954195373035742,0.843656969553527,0.909471932795715,43.3168012545422,50.8684036026726,7.72901528803923,1.79652340479533,FALSE,FALSE,FALSE,FALSE
"Post-growing season",12,209,TRUE,TRUE,36.8875039077415,40.8144557196414,35.8990529133173,36.8785532246467,0.978048780487805,0.98780487804878,0.953658536585366,0.991463414634146,,,,,0.0636124439300731,0.905130592545635,0.999996372192207,0.999997930534333,0.930938142895086,0.995575704577394,,,41.3163980549543,67.2542096537069,0,0,FALSE,FALSE,TRUE,TRUE
"Post-growing season",13,209,TRUE,TRUE,75.1147968266032,66.9963244226841,70.3886076142751,58.6627651861212,0.963316582914573,0.991959798994975,0.911557788944724,0.976381909547739,,,,,0.111041056276702,0.256962675406206,0.707745864513312,0.964674223733698,0.913026114168536,0.988419975730442,0.745662404044561,,30.3358308121559,207.805960288219,0.490452127910148,0,FALSE,FALSE,FALSE,TRUE
"Post-growing season",14,209,TRUE,TRUE,76.9223674694265,71.0659593839327,74.6135622038625,69.7682380412953,0.937777777777778,0.985555555555556,0.853333333333333,0.937222222222222,,,,,0.105857922635206,0.205014632146953,0.58296677663179,0.823529230241582,0.539600257972611,0.969443580959262,,,3.09938289925609,82.3025249071199,0,0,FALSE,FALSE,TRUE,TRUE
"Post-growing season",15,209,TRUE,TRUE,30.4652534383854,33.7253180840254,36.8980659453011,47.089800873975,1,1,1,0.975124378109453,,,,,0.0197987335517435,0.02109560827149,0.0369377240638678,0.989990726097157,0.999982048181346,0.999928221635987,0.999974297352723,,179629.368712315,44863.5221380569,123266.031701644,2.97630155733884e-14,FALSE,FALSE,FALSE,TRUE
"Post-growing season",16,209,TRUE,TRUE,47.9174066576993,52.8475662337498,53.1764613385759,51.1742971844243,0.992537313432836,0.993159203980099,0.990671641791045,0.98134328358209,,,,,0.131038027309651,0.160009135754907,0.807774292734684,0.991516476854107,0.988077164838619,0.986573963040302,0.980293449027442,,236.482825579935,202.538492474237,28.8008427009933,0,FALSE,FALSE,FALSE,TRUE
"Post-growing season",17,209,TRUE,TRUE,55.6258868783649,58.9551805405223,61.2668215172505,60.3238587232756,0.985555555555556,0.992222222222222,0.985,0.982777777777778,,,,,0.0572856438963151,0.0982352046716555,0.733573504704908,0.956382581202796,0.964986930137887,0.98208752378664,0.951399650116446,0.977495164784221,85.2886521599398,162.331413307406,14.7451468187443,3.08634190290965,FALSE,FALSE,FALSE,FALSE
"Post-growing season",18,209,TRUE,TRUE,62.8810033315253,65.1333061290843,57.1939857745364,55.0376615216309,0.77175697865353,0.929392446633826,0.889983579638752,0.963875205254516,,,,,0.084101024532359,0.189017100245866,0.966705257725504,0.981136421899068,0.220747483642956,0.422756835159281,,,0.576897503664179,1.33214726879008,2.10499697670231e-16,0,FALSE,FALSE,TRUE,TRUE
"Post-growing season",19,209,TRUE,TRUE,72.1187612607899,70.2663656194449,67.6827262670655,60.0829683665406,0.954601990049751,0.988805970149254,0.94092039800995,0.955223880597015,,,,,0.169458311502464,0.238082056881203,0.958526645547757,0.981449673605247,0.559434909387042,0.957305514487572,0.965735397735899,,2.91210449852672,55.4205140496987,0.692138315941544,0,FALSE,FALSE,FALSE,TRUE
"Post-growing season",20,209,TRUE,TRUE,60.4771024852032,62.7686734731445,51.6263391952924,43.924773390733,0.935139573070608,0.98111658456486,0.915435139573071,0.987684729064039,,,,,0.0567462393733816,0.108239732537302,0.999995266645176,0.9999999601409,0.517597278857325,0.986016487457047,,,3.14289095548176,206.512474289965,0,0,FALSE,FALSE,TRUE,TRUE
"Post-growing season",21,209,TRUE,TRUE,34.9774132871801,40.4247647201043,38.3254213497544,43.6021595183995,0.992682926829268,0.992682926829268,0.965853658536585,0.964634146341463,,,,,0.104500614997213,0.10299961638632,0.976806733188436,0.978419322446678,0.992976649776896,0.99388444353878,,,416.178732588248,479.25215345948,0,0,FALSE,FALSE,TRUE,TRUE
