"Season","Rep","Model","n","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",22,"Full",209,TRUE,TRUE,235.536581541447,0.836323302469136,,0.404482548283113,0.437555626661417,0.193452138198434,FALSE
"Pre-growing season",23,"Storm",209,TRUE,TRUE,224.5176150909,0.831831831831832,,0.36503769011817,0.4090716429136,0.245149680777967,FALSE
"Pre-growing season",23,"Agricultural",209,TRUE,TRUE,225.92434606488,0.825225225225225,,0.383693916335161,0.400846160218319,0.0941805206374915,FALSE
"Pre-growing season",23,"Site",209,TRUE,TRUE,221.042909451439,0.823173173173173,,0.429182296810341,,0,TRUE
"Pre-growing season",23,"Full",209,TRUE,TRUE,219.262835431013,0.837087087087087,,0.462633445972015,,0,TRUE
"Pre-growing season",24,"Storm",209,TRUE,TRUE,218.415798588105,0.795910973084886,,0.343788457335217,,0,TRUE
"Pre-growing season",24,"Agricultural",209,TRUE,TRUE,224.254210603484,0.793892339544513,,0.34328810837452,,0,TRUE
"Pre-growing season",24,"Site",209,TRUE,TRUE,221.276150070375,0.811904761904762,,0.373273763807168,,0,TRUE
"Pre-growing season",24,"Full",209,TRUE,TRUE,227.09453253332,0.809213250517598,,0.373684670331523,,0,TRUE
"Pre-growing season",25,"Storm",209,TRUE,TRUE,206.275449622262,0.822486441385065,,0.401574761798539,,0,TRUE
"Pre-growing season",25,"Agricultural",209,TRUE,TRUE,209.296670167248,0.830986649979141,,0.426117878302009,,0,TRUE
"Pre-growing season",25,"Site",209,TRUE,TRUE,207.642336728667,0.836722987067167,,0.445126231273764,,1.07616682372624e-16,TRUE
"Pre-growing season",25,"Full",209,TRUE,TRUE,212.998085692355,0.837661660408844,,0.450260361328592,,0,TRUE
"Pre-growing season",26,"Storm",209,TRUE,TRUE,199.313036842329,0.833107344632768,,0.389724513364352,0.413545327677856,0.133628977016058,FALSE
"Pre-growing season",26,"Agricultural",209,TRUE,TRUE,204.772893583904,0.83638418079096,,0.392720318788301,0.423341297038065,0.174694286324093,FALSE
"Pre-growing season",26,"Site",209,TRUE,TRUE,202.291686017628,0.832768361581921,,0.425484893444307,0.430880046074908,0.0311873456437961,FALSE
"Pre-growing season",26,"Full",209,TRUE,TRUE,207.450759276597,0.842485875706215,,0.431305322332579,0.447005512145685,0.0934033797688246,FALSE
"Pre-growing season",27,"Storm",209,TRUE,TRUE,222.429808166239,0.837328767123288,,0.335390681346536,0.40594992813454,0.390759345952999,FALSE
"Pre-growing season",27,"Agricultural",209,TRUE,TRUE,226.705888815278,0.841458501208703,,0.348581209878468,0.414546308101112,0.370680854150826,FALSE
"Pre-growing season",27,"Site",209,TRUE,TRUE,225.621389806693,0.835213537469782,,0.368433474776105,0.412813869495916,0.248653091012614,FALSE
"Pre-growing season",27,"Full",209,TRUE,TRUE,229.904991481999,0.843473005640612,,0.381212602570191,0.426599714560685,0.260407288258733,FALSE
"Pre-growing season",28,"Storm",209,TRUE,TRUE,210.272412497953,0.817247218190614,,0.256318545475165,0.338526298668769,0.408863824865787,FALSE
"Pre-growing season",28,"Agricultural",209,TRUE,TRUE,214.857276074461,0.809143686502177,,0.26765877556148,0.326302050320957,0.286372611017624,FALSE
"Pre-growing season",28,"Site",209,TRUE,TRUE,218.034703816363,0.815312046444122,,0.257410807769786,0.336200693695025,0.390492024473332,FALSE
"Pre-growing season",28,"Full",209,TRUE,TRUE,222.613483886669,0.807692307692308,,0.269555201721977,0.325798709745032,0.27444878472774,FALSE
"Pre-growing season",29,"Storm",209,TRUE,TRUE,237.524879429826,0.790362953692115,,0.231944069298012,0.310349491942095,0.374020606744932,FALSE
"Pre-growing season",29,"Agricultural",209,TRUE,TRUE,241.003867048783,0.790571547768043,,0.252570673251079,0.313043775657142,0.289608748711435,FALSE
"Pre-growing season",29,"Site",209,TRUE,TRUE,243.076905218187,0.781184814351272,,0.245227009159963,0.290871528191231,0.21175915875419,FALSE
"Pre-growing season",29,"Full",209,TRUE,TRUE,246.320112906444,0.771068001668753,,0.268308651242844,0.292965404100777,0.114729132037133,FALSE
"Pre-growing season",30,"Storm",209,TRUE,TRUE,215.455147157099,0.874465811965812,,0.28841067721467,0.48525805799902,1.25810988458914,FALSE
"Pre-growing season",30,"Agricultural",209,TRUE,TRUE,217.339396810733,0.887179487179487,,0.315603524079973,0.528565132819055,1.48613447809011,FALSE
"Pre-growing season",30,"Site",209,TRUE,TRUE,219.590611195765,0.873076923076923,,0.3421774345365,0.480549323011201,0.876358982013871,FALSE
"Pre-growing season",30,"Full",209,TRUE,TRUE,218.690805289256,0.875641025641026,,0.384753230504634,0.503554161969637,0.787275003111748,FALSE
"Pre-growing season",31,"Storm",209,TRUE,TRUE,240.881691783393,0.78739224137931,,0.173417584954697,0.277101986207833,0.471861868667627,FALSE
"Pre-growing season",31,"Agricultural",209,TRUE,TRUE,244.747442611557,0.783081896551724,,0.183332255328504,0.258970132211147,0.335801094764464,FALSE
"Pre-growing season",31,"Site",209,TRUE,TRUE,247.84239583847,0.790409482758621,,0.181291562812491,0.286767824907104,0.486521788618537,FALSE
"Pre-growing season",31,"Full",209,TRUE,TRUE,251.783566860512,0.783512931034483,,0.192384375295745,0.26967610085287,0.348173714711714,FALSE
"Pre-growing season",32,"Storm",209,TRUE,TRUE,229.028168966936,0.858236374770361,,0.278948760447292,0.434905813779234,0.907951545941948,FALSE
"Pre-growing season",32,"Agricultural",209,TRUE,TRUE,230.344104791473,0.860073484384568,,0.30832047549341,0.439232575706315,0.768025259934066,FALSE
"Pre-growing season",32,"Site",209,TRUE,TRUE,236.430169916352,0.859256991222698,,0.286301104406859,0.443806215445619,0.931637605615988,FALSE
"Pre-growing season",32,"Full",209,TRUE,TRUE,237.115317664696,0.862625025515411,,0.3167403366783,0.444650489233197,0.757734591834919,FALSE
"Pre-growing season",33,"Storm",209,TRUE,TRUE,204.275524521158,0.867556685738504,,0.424948015681338,0.505814805771948,0.538342870042858,FALSE
"Pre-growing season",33,"Agricultural",209,TRUE,TRUE,206.223714164587,0.859398177579996,,0.445883376058631,0.493312543631201,0.307952575189027,FALSE
"Pre-growing season",33,"Site",209,TRUE,TRUE,211.363989301766,0.866497139224412,,0.431386739644165,0.514092498026383,0.559964680252313,FALSE
"Pre-growing season",33,"Full",209,TRUE,TRUE,213.525989531766,0.860881542699725,,0.45105940181989,0.501595307953653,0.33357725127813,FALSE
"Pre-growing season",34,"Storm",209,TRUE,TRUE,244.657036446379,0.801194029850746,,0.234006328058241,0.305181222265842,0.337003005497921,FALSE
"Pre-growing season",34,"Agricultural",209,TRUE,TRUE,246.561135115069,0.797213930348259,,0.267343035588311,0.315059043902277,0.229186725982432,FALSE
"Pre-growing season",34,"Site",209,TRUE,TRUE,249.369036990496,0.791044776119403,,0.257388957625347,0.307789740334196,0.239539831477296,FALSE
