"Season","Rep","Model","n","Use_Frozen","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",16,"Storm",2246,TRUE,TRUE,TRUE,1913.19750120538,0.74014613674705,,0.132968514385749,0.225297323018297,0.392085395297456,FALSE
"Pre-growing season",16,"Agricultural",2246,TRUE,TRUE,TRUE,1917.39971482836,0.741087933822431,,0.134161713092042,0.228558519854118,0.402562027686835,FALSE
"Pre-growing season",16,"Site",2246,TRUE,TRUE,TRUE,1906.77677373791,0.739297913505464,,0.185188822453088,0.228773813119996,0.185923240602872,FALSE
"Pre-growing season",16,"Full",2246,TRUE,TRUE,TRUE,1910.61029793651,0.740165659345468,,0.18523889153609,0.228809888179553,0.185872239819514,FALSE
"Pre-growing season",17,"Storm",2246,TRUE,TRUE,TRUE,1924.42117728858,0.770482660588054,,0.14193047191929,0.279353797057891,0.62736002264959,FALSE
"Pre-growing season",17,"Agricultural",2246,TRUE,TRUE,TRUE,1928.77992760844,0.770729817641635,,0.145618854813494,0.281230646763393,0.62070664376612,FALSE
"Pre-growing season",17,"Site",2246,TRUE,TRUE,TRUE,1921.41816320966,0.770227819895502,,0.187418304208897,0.26998413890273,0.372088776376743,FALSE
"Pre-growing season",17,"Full",2246,TRUE,TRUE,TRUE,1925.59944746821,0.770482660588054,,0.189952118981661,0.270113118829148,0.361315055478794,FALSE
"Pre-growing season",18,"Storm",2246,TRUE,TRUE,TRUE,2003.21848661993,0.754065362931642,,0.10355439757038,0.263669813638772,0.715383688994318,FALSE
"Pre-growing season",18,"Agricultural",2246,TRUE,TRUE,TRUE,2004.62298433672,0.754985905567301,,0.107326834101909,0.273710706019326,0.753667998026042,FALSE
"Pre-growing season",18,"Site",2246,TRUE,TRUE,TRUE,1999.68496034451,0.753642529950669,,0.160628164740163,0.257624547162459,0.429843560149046,FALSE
"Pre-growing season",18,"Full",2246,TRUE,TRUE,TRUE,2000.99923370733,0.75487012987013,,0.160586762277614,0.262585874244597,0.455054516051964,FALSE
"Pre-growing season",19,"Storm",2246,TRUE,TRUE,TRUE,1907.70571295104,0.780954226830765,,0.140938443313078,0.273310589490082,0.599275150013759,FALSE
"Pre-growing season",19,"Agricultural",2246,TRUE,TRUE,TRUE,1911.80261169858,0.781473657008108,,0.144204116461995,0.27734813730111,0.606137331072417,FALSE
"Pre-growing season",19,"Site",2246,TRUE,TRUE,TRUE,1899.98426231725,0.779534192589721,,0.204839017857513,0.267877768283144,0.283271245194935,FALSE
"Pre-growing season",19,"Full",2246,TRUE,TRUE,TRUE,1904.06851795622,0.780271990179927,,0.206040643686521,0.269407351402765,0.285341103353827,FALSE
"Pre-growing season",20,"Storm",2246,TRUE,TRUE,TRUE,1967.71450568106,0.75723891520137,,0.101120571429432,0.26400352835522,0.728078829392818,FALSE
"Pre-growing season",20,"Agricultural",2246,TRUE,TRUE,TRUE,1971.27073008819,0.758275648277758,,0.107027131647509,0.268788184521989,0.727795314381067,FALSE
"Pre-growing season",20,"Site",2246,TRUE,TRUE,TRUE,1961.48606101013,0.756065399832538,,0.169050100081605,0.254394574883119,0.376569239678665,FALSE
"Pre-growing season",20,"Full",2246,TRUE,TRUE,TRUE,1964.83192916705,0.756930835458572,,0.172100183232381,0.252630555825889,0.354489079872483,FALSE
"Pre-growing season",21,"Storm",2246,TRUE,TRUE,TRUE,2004.13926855988,0.753938582937866,,0.119648322791287,0.241955049696631,0.530803619523599,FALSE
"Pre-growing season",21,"Agricultural",2246,TRUE,TRUE,TRUE,2008.90887474826,0.754526141003903,,0.12060092574674,0.244550170462332,0.539779948901603,FALSE
"Pre-growing season",21,"Site",2246,TRUE,TRUE,TRUE,1999.70343546566,0.752651849585135,,0.171881953313396,0.230006019766246,0.248340271395417,FALSE
"Pre-growing season",21,"Full",2246,TRUE,TRUE,TRUE,2004.35388962903,0.753304622207061,,0.171546225252733,0.229022147613626,0.245257635929017,FALSE
"Pre-growing season",22,"Storm",2246,TRUE,TRUE,TRUE,2083.23371945007,0.72317448159702,,0.083773150037482,0.191741576814611,0.439465740795582,FALSE
"Pre-growing season",22,"Agricultural",2246,TRUE,TRUE,TRUE,2083.38259552126,0.726793480348961,,0.0943990133324076,0.202417951737014,0.445556747505768,FALSE
"Pre-growing season",22,"Site",2246,TRUE,TRUE,TRUE,2084.18664433874,0.722396148988725,,0.112525314526658,0.187769323981143,0.304769169971756,FALSE
"Pre-growing season",22,"Full",2246,TRUE,TRUE,TRUE,2084.57990763907,0.725594996858164,,0.119363465959269,0.195627499929344,0.311918439632459,FALSE
"Pre-growing season",23,"Storm",2246,TRUE,TRUE,TRUE,1943.51503015533,0.765678595491853,,0.123796215842401,0.263515951816546,0.624126901544676,FALSE
"Pre-growing season",23,"Agricultural",2246,TRUE,TRUE,TRUE,1949.08754799593,0.766133519131038,,0.123682627345246,0.26415710219977,0.628045062068516,FALSE
"Pre-growing season",23,"Site",2246,TRUE,TRUE,TRUE,1937.63549348973,0.764350192943771,,0.184392587020841,0.253280075377585,0.303501681530496,FALSE
"Pre-growing season",23,"Full",2246,TRUE,TRUE,TRUE,1943.25364412036,0.764225774837682,,0.1838424144157,0.251252416621767,0.296187958496716,FALSE
"Pre-growing season",24,"Storm",2246,TRUE,TRUE,TRUE,1981.14202859281,0.746860718554454,,0.121612714657945,0.25058843015934,0.566195016896991,FALSE
"Pre-growing season",24,"Agricultural",2246,TRUE,TRUE,TRUE,1982.56476601303,0.749772136040856,,0.132174723727686,0.282008819206793,0.686546616789068,FALSE
"Pre-growing season",24,"Site",2246,TRUE,TRUE,TRUE,1978.82239224266,0.746443979981208,,0.164994030685499,0.243988774488852,0.34375453908433,FALSE
"Pre-growing season",24,"Full",2246,TRUE,TRUE,TRUE,1981.69179158195,0.748745629677922,,0.171608675353399,0.267664008033544,0.431508735775052,FALSE
"Pre-growing season",25,"Storm",2246,TRUE,TRUE,TRUE,1919.65288097967,0.763171980601558,,0.124401287106396,0.268906204230208,0.650261464067713,FALSE
"Pre-growing season",25,"Agricultural",2246,TRUE,TRUE,TRUE,1923.24013213495,0.763085564670072,,0.128349226196735,0.27632955663646,0.672731321269344,FALSE
"Pre-growing season",25,"Site",2246,TRUE,TRUE,TRUE,1911.21069569119,0.761963447350771,,0.1945072983024,0.261423193669479,0.298065779914825,FALSE
"Pre-growing season",25,"Full",2246,TRUE,TRUE,TRUE,1915.02513993322,0.76180351338802,,0.194843318124717,0.262768559768102,0.303113887663164,FALSE
